Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Milk,27,56,3,Ambient,0.5
Milk,20,84,6,Refrigerated,0.5
Potato,22,82,9,Ambient,1.2
Mango,18,77,7,Ambient,0.5
Yogurt,21,56,7,Ambient,0.5
Potato,18,77,2,Refrigerated,6.49
Potato,6,77,5,Ambient,5.99
Mango,22,52,9,Refrigerated,0.5
Bread,30,55,2,Ambient,0.5
Apple,9,83,8,Refrigerated,1.47
Mango,2,62,5,Ambient,1.87
Potato,14,56,8,Refrigerated,3.52
Yogurt,27,52,9,Refrigerated,0.5
Banana,9,52,7,Refrigerated,0.5
Fish,30,72,6,Ambient,0.5
Bread,12,58,5,Ambient,0.5
Fish,23,77,3,Refrigerated,0.5
Bread,20,55,5,Refrigerated,0.5
Banana,5,80,5,Refrigerated,0.5
Tomato,7,77,3,Refrigerated,3.2
Milk,28,51,4,Refrigerated,0.5
Banana,12,56,8,Ambient,0.5
Bread,27,63,7,Refrigerated,0.5
Milk,31,72,1,Ambient,0.66
Mango,29,79,2,Refrigerated,0.5
Fish,11,75,8,Ambient,0.5
Chicken,30,58,9,Ambient,0.5
Potato,6,64,3,Refrigerated,7.65
Tomato,15,51,7,Ambient,0.5
Banana,3,58,9,Ambient,0.5
Fish,25,74,9,Refrigerated,0.5
Potato,16,72,5,Ambient,4.87
Bread,24,70,8,Ambient,0.5
Yogurt,27,61,5,Refrigerated,0.77
Chicken,19,69,7,Refrigerated,0.5
Milk,9,83,8,Refrigerated,0.5
Mango,17,59,2,Ambient,2.07
Chicken,29,58,5,Refrigerated,0.5
Apple,17,74,6,Ambient,2.02
Potato,10,50,7,Refrigerated,4.83
Banana,15,73,8,Ambient,0.5
Chicken,28,80,5,Ambient,0.5
Chicken,21,82,3,Refrigerated,0.5
Potato,31,60,3,Ambient,4.62
Mango,11,63,5,Ambient,0.72
Chicken,26,57,5,Refrigerated,0.5
Chicken,26,79,7,Ambient,0.5
Chicken,10,76,6,Ambient,0.5
Mango,3,53,9,Ambient,0.5
Fish,2,73,5,Refrigerated,0.5
