Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Bread,23,63,1,Ambient,0.5
Apple,6,66,3,Refrigerated,5.6
Chicken,16,71,7,Refrigerated,0.5
Bread,23,58,1,Refrigerated,0.5
Chicken,21,51,6,Ambient,0.5
Bread,23,52,6,Ambient,0.5
Tomato,17,56,5,Ambient,1.14
Mango,18,58,9,Ambient,0.5
Potato,20,57,8,Refrigerated,2.74
Potato,2,67,5,Ambient,6.74
Mango,8,63,8,Refrigerated,0.5
Fish,2,64,2,Ambient,0.5
Apple,23,59,9,Ambient,0.5
Yogurt,14,75,4,Ambient,2.71
Potato,31,75,4,Ambient,3.58
Banana,5,63,3,Refrigerated,1.8
Mango,16,75,6,Ambient,0.5
Fish,23,70,9,Refrigerated,0.5
Mango,16,72,9,Ambient,0.5
Milk,19,74,8,Refrigerated,0.5
Potato,6,63,8,Refrigerated,4.34
Potato,11,56,2,Ambient,7.89
Milk,21,70,3,Refrigerated,0.62
Fish,16,68,3,Refrigerated,0.5
Fish,22,53,3,Refrigerated,0.5
Milk,19,67,5,Ambient,0.5
Banana,10,71,5,Ambient,0.5
Fish,27,50,6,Refrigerated,0.5
Apple,26,63,9,Ambient,0.5
Banana,8,66,5,Refrigerated,0.5
Milk,18,54,6,Refrigerated,0.5
Yogurt,13,80,9,Refrigerated,0.5
Tomato,20,65,1,Ambient,3.21
Yogurt,20,70,7,Refrigerated,0.5
Chicken,8,59,8,Ambient,0.5
Bread,9,70,1,Ambient,1.46
Tomato,26,80,7,Ambient,0.5
Bread,16,81,1,Ambient,0.5
Tomato,10,54,2,Refrigerated,4.07
Chicken,2,72,8,Refrigerated,0.5
Fish,6,59,8,Refrigerated,0.5
Banana,5,68,4,Ambient,1.01
Fish,20,65,1,Refrigerated,0.5
Bread,18,81,2,Ambient,0.5
Apple,27,52,8,Ambient,0.5
Yogurt,16,68,9,Refrigerated,0.5
Banana,2,79,4,Ambient,1.11
Banana,28,55,6,Ambient,0.5
Fish,13,64,1,Ambient,0.5
Banana,5,50,2,Ambient,2.79
