Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Yogurt,11,69,7,Ambient,1.23
Fish,14,73,8,Ambient,0.5
Chicken,15,76,7,Ambient,0.5
Chicken,10,79,2,Ambient,0.5
Fish,18,83,7,Refrigerated,0.5
Tomato,7,73,7,Ambient,0.63
Apple,31,80,8,Refrigerated,0.5
Tomato,17,71,2,Refrigerated,2.77
Apple,15,81,5,Ambient,2.77
Potato,14,55,6,Refrigerated,4.88
Fish,23,66,7,Ambient,0.5
Tomato,6,70,3,Ambient,3.5
Banana,18,82,2,Refrigerated,0.5
Yogurt,2,79,3,Refrigerated,4.78
Potato,24,58,4,Refrigerated,4.88
Yogurt,27,50,3,Ambient,2.38
Bread,17,55,3,Refrigerated,0.5
Tomato,8,56,9,Ambient,0.5
Milk,18,64,2,Ambient,1.82
Yogurt,15,56,7,Ambient,1.06
Potato,6,54,4,Ambient,7.23
Chicken,24,82,8,Refrigerated,0.5
Mango,10,54,7,Ambient,0.5
Yogurt,2,78,3,Refrigerated,4.8
Potato,13,69,9,Ambient,2.65
Chicken,9,69,6,Refrigerated,0.5
Mango,23,52,6,Ambient,0.5
Bread,7,58,5,Refrigerated,0.5
Fish,7,51,8,Refrigerated,0.5
Chicken,31,68,8,Ambient,0.5
Mango,18,69,6,Refrigerated,0.5
Banana,9,82,6,Ambient,0.5
Yogurt,6,83,8,Ambient,0.84
Yogurt,5,76,9,Ambient,0.5
Banana,23,84,5,Refrigerated,0.5
Apple,2,56,8,Ambient,3.02
Potato,19,71,4,Refrigerated,5.18
Banana,19,60,8,Refrigerated,0.5
Apple,24,75,7,Ambient,0.5
Bread,12,67,6,Refrigerated,0.5
Apple,14,82,8,Ambient,0.87
Fish,26,56,5,Refrigerated,0.5
Tomato,20,69,4,Ambient,1.11
Fish,15,60,9,Refrigerated,0.5
Apple,17,67,5,Ambient,2.87
Mango,8,77,2,Ambient,2.74
Potato,24,71,8,Refrigerated,1.89
Fish,17,54,8,Refrigerated,0.5
Banana,31,52,2,Ambient,0.5
Potato,24,63,6,Ambient,3.42
