Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Apple,8,73,9,Refrigerated,1.18
Mango,23,78,1,Ambient,1.51
Mango,19,69,9,Ambient,0.5
Tomato,29,84,9,Ambient,0.5
Yogurt,2,59,9,Ambient,1.27
Tomato,5,78,8,Ambient,0.5
Mango,9,59,5,Refrigerated,1.07
Yogurt,9,65,1,Ambient,5.58
Apple,26,61,4,Refrigerated,2.56
Mango,6,69,3,Refrigerated,2.52
Tomato,30,70,9,Ambient,0.5
Tomato,25,72,3,Refrigerated,1.07
Apple,5,78,4,Ambient,4.76
Fish,27,55,9,Ambient,0.5
Mango,9,57,6,Ambient,0.5
Yogurt,5,65,3,Ambient,4.75
Potato,15,53,6,Ambient,4.8
Bread,23,71,2,Ambient,0.5
Chicken,9,70,6,Ambient,0.5
Potato,20,63,7,Ambient,3.26
Apple,25,63,2,Ambient,3.97
Milk,22,79,6,Ambient,0.5
Apple,26,59,5,Ambient,1.94
Apple,17,54,5,Ambient,3.19
Banana,21,64,2,Ambient,0.5
Chicken,18,56,8,Refrigerated,0.5
Milk,25,73,7,Ambient,0.5
Banana,10,67,2,Ambient,1.74
Banana,18,52,9,Refrigerated,0.5
Bread,30,72,5,Refrigerated,0.5
Potato,3,57,9,Ambient,4.2
Milk,14,66,7,Ambient,0.5
Yogurt,22,75,9,Ambient,0.5
Apple,29,72,6,Ambient,0.57
Bread,12,51,3,Refrigerated,0.5
Tomato,12,81,6,Ambient,0.5
Potato,31,80,4,Refrigerated,3.46
Mango,9,72,6,Refrigerated,0.5
Yogurt,6,67,3,Refrigerated,4.58
Banana,9,53,3,Ambient,1.55
Potato,25,70,6,Refrigerated,3.12
Banana,24,55,6,Refrigerated,0.5
Apple,11,70,3,Refrigerated,4.88
Milk,31,77,2,Refrigerated,0.5
Bread,27,71,7,Ambient,0.5
Bread,13,83,6,Refrigerated,0.5
Yogurt,30,82,8,Refrigerated,0.5
Fish,28,64,1,Ambient,0.5
Bread,27,82,1,Refrigerated,0.5
Potato,12,65,8,Ambient,3.54
