Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Fish,3,75,7,Refrigerated,0.5
Mango,6,75,4,Ambient,1.71
Yogurt,4,50,6,Ambient,3.25
Mango,11,81,6,Ambient,0.5
Bread,8,53,2,Refrigerated,1.34
Banana,8,64,4,Ambient,0.73
Potato,27,80,1,Refrigerated,5.96
Banana,14,53,4,Refrigerated,0.5
Mango,30,54,2,Ambient,0.57
Chicken,13,58,2,Refrigerated,0.5
Fish,31,78,5,Ambient,0.5
Fish,9,58,3,Ambient,0.5
Apple,27,78,6,Refrigerated,0.68
Milk,12,77,1,Ambient,2.91
Chicken,13,68,1,Ambient,0.5
Potato,7,67,7,Refrigerated,4.78
Potato,25,75,1,Ambient,6.33
Mango,12,69,4,Ambient,1.11
Milk,30,57,9,Refrigerated,0.5
Milk,27,54,6,Refrigerated,0.5
Apple,18,78,8,Ambient,0.5
Potato,2,71,8,Refrigerated,4.64
Mango,17,71,7,Refrigerated,0.5
Milk,4,64,9,Ambient,0.5
Banana,27,69,1,Ambient,0.5
Yogurt,17,56,5,Refrigerated,2.14
Mango,21,59,7,Ambient,0.5
Milk,23,62,5,Ambient,0.5
Apple,13,59,1,Refrigerated,6.23
Bread,3,67,1,Ambient,2.28
Tomato,3,64,8,Refrigerated,0.69
Milk,9,69,1,Refrigerated,3.48
Banana,8,70,7,Ambient,0.5
Bread,5,56,8,Refrigerated,0.5
Potato,9,68,9,Ambient,3.17
Chicken,6,82,2,Refrigerated,0.5
Tomato,29,53,7,Ambient,0.5
Milk,6,68,1,Ambient,3.88
Milk,18,83,3,Refrigerated,0.67
Banana,17,72,7,Ambient,0.5
Banana,11,67,8,Ambient,0.5
Yogurt,30,58,8,Refrigerated,0.5
Chicken,7,58,3,Refrigerated,0.5
Fish,10,72,1,Ambient,0.5
Bread,27,57,8,Refrigerated,0.5
Apple,19,62,3,Ambient,4.08
Tomato,7,66,6,Ambient,1.48
Banana,2,76,4,Ambient,1.18
Banana,22,73,6,Ambient,0.5
Chicken,27,66,5,Ambient,0.5
