Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Milk,5,65,1,Ambient,4.08
Bread,4,58,6,Ambient,0.5
Apple,18,78,8,Ambient,0.5
Potato,4,67,6,Ambient,5.83
Milk,7,71,3,Refrigerated,2.35
Bread,6,50,2,Ambient,1.67
Apple,7,64,4,Ambient,4.86
Mango,23,63,3,Refrigerated,0.55
Chicken,17,62,3,Ambient,0.5
Milk,27,55,5,Ambient,0.5
Fish,14,70,9,Refrigerated,0.5
Yogurt,3,71,4,Ambient,4.18
Tomato,13,77,9,Ambient,0.5
Fish,22,62,7,Ambient,0.5
Yogurt,7,73,3,Ambient,4.3
Milk,4,83,1,Ambient,3.76
Fish,14,53,6,Refrigerated,0.5
Tomato,16,66,6,Refrigerated,0.5
Milk,2,73,4,Refrigerated,2.26
Milk,22,55,4,Ambient,0.5
Banana,26,80,9,Refrigerated,0.5
Milk,6,55,2,Ambient,3.54
Mango,8,53,4,Ambient,2.01
Chicken,19,77,7,Ambient,0.5
Bread,11,55,4,Ambient,0.5
Mango,19,81,2,Ambient,1.27
Milk,9,76,7,Ambient,0.5
Milk,24,71,1,Ambient,1.56
Milk,28,83,1,Refrigerated,0.76
Milk,27,82,6,Ambient,0.5
Bread,11,71,3,Ambient,0.5
Bread,12,73,6,Refrigerated,0.5
Banana,5,73,1,Refrigerated,2.88
Apple,18,53,2,Ambient,5.09
Bread,4,55,4,Ambient,0.5
Bread,21,83,8,Ambient,0.5
Fish,30,52,1,Refrigerated,0.5
Fish,23,55,3,Ambient,0.5
Fish,29,80,6,Refrigerated,0.5
Apple,9,82,6,Ambient,2.83
Milk,8,81,4,Ambient,1.31
Milk,17,75,3,Ambient,1.0
Apple,8,72,1,Refrigerated,6.53
Tomato,24,53,4,Ambient,1.01
Tomato,11,75,9,Ambient,0.5
Bread,22,67,4,Ambient,0.5
Fish,22,80,6,Ambient,0.5
Mango,3,76,7,Refrigerated,0.5
Chicken,23,64,6,Ambient,0.5
Bread,29,65,2,Refrigerated,0.5
