Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Tomato,25,67,7,Refrigerated,0.5
Banana,11,56,7,Refrigerated,0.5
Apple,20,54,7,Refrigerated,1.48
Milk,14,78,8,Ambient,0.5
Banana,8,53,3,Refrigerated,1.68
Yogurt,9,64,5,Ambient,2.94
Bread,23,56,9,Ambient,0.5
Fish,23,65,2,Ambient,0.5
Tomato,13,75,5,Refrigerated,1.17
Milk,28,50,4,Ambient,0.5
Tomato,28,80,9,Ambient,0.5
Yogurt,9,55,2,Ambient,5.17
Bread,20,74,3,Ambient,0.5
Yogurt,30,65,8,Refrigerated,0.5
Tomato,3,83,9,Ambient,0.5
Bread,5,81,8,Ambient,0.5
Bread,10,82,7,Ambient,0.5
Apple,13,82,8,Ambient,0.99
Banana,24,51,2,Refrigerated,0.5
Bread,21,84,7,Ambient,0.5
Banana,17,66,8,Ambient,0.5
Milk,27,68,1,Refrigerated,1.26
Chicken,2,68,8,Ambient,0.5
Bread,2,51,8,Refrigerated,0.5
Apple,27,52,5,Ambient,1.99
Chicken,13,60,6,Refrigerated,0.5
Potato,8,78,7,Ambient,4.38
Banana,9,61,2,Ambient,2.02
Milk,30,77,9,Refrigerated,0.5
Chicken,22,75,3,Refrigerated,0.5
Yogurt,30,63,4,Refrigerated,1.01
Yogurt,17,77,5,Ambient,1.62
Apple,12,66,3,Ambient,4.85
Bread,25,75,6,Refrigerated,0.5
Apple,13,79,2,Refrigerated,5.07
Fish,5,75,6,Refrigerated,0.5
Potato,31,79,6,Refrigerated,2.15
Yogurt,5,60,9,Refrigerated,0.88
Bread,9,56,6,Refrigerated,0.5
Milk,2,68,6,Refrigerated,1.05
Chicken,20,69,1,Refrigerated,0.5
Milk,25,50,7,Ambient,0.5
Fish,10,81,9,Ambient,0.5
Fish,3,72,3,Refrigerated,0.5
Yogurt,23,70,6,Ambient,0.5
Potato,12,61,7,Refrigerated,4.31
Milk,22,84,2,Ambient,0.82
Tomato,11,60,6,Ambient,1.12
Apple,26,62,9,Ambient,0.5
Bread,26,59,5,Refrigerated,0.5
